Name,CMP  Rs.,3mth return  %,6mth return  %,1Yr return  %
Lumax Auto Tech.,1090,103.3,105.31,90.29
Krishana Phosch.,521.75,92.19,160.47,92.71
Banco Products,638.95,65.02,47.99,85.07
Pearl Global Ind,1545.3,57.22,18.51,75.35
Dynamic Cables,432.25,56.26,1.04,45.91
Lloyds Enterpris,81.52,53.67,37.38,127.2
ITD Cem,787.6,51.93,53.35,54.27
Aditya Birla Cap,270.95,38.28,58.98,25.73
Fedbank Financi.,123.72,37.51,29.84,0.55
Multi Comm. Exc.,8242.5,36.18,43.61,102.69
Gokul Agro,314.25,28.19,5.7,84.26
Genus Power,373.2,24.82,11.27,3.04
Polycab India,6841,24.22,15.64,8.21
Kingfa Science,3654,23.24,22.43,43.58
Kalyan Jewellers,613,22.29,33.62,4.38
BSE,2547.8,21.26,30.98,216.69
Uno Minda,1081,21.18,18.32,5.62
D.P. Abhushan,1674.7,16.45,0.08,27.44
TD Power Systems,480.1,14.9,30.37,20.67
Home First Finan,1415.9,14.69,42.17,35.94
Suzlon Energy,65.32,12.04,24.32,7.58
AU Small Finance,745.45,10.41,25.36,13.02
Federal Bank,212.7,8.25,13.07,5.7
SBFC Finance,114.49,7.86,29.87,39.93
Skipper,470.7,6.26,7.04,30.19
V2 Retail,1945.9,5.85,5.7,142.04
Bajaj Finance,958.95,5.24,28.92,45.14
Chola Financial,2046.7,3.35,43.47,36.83
Kaynes Tech,5660.5,1.55,0.57,38.02
Cholaman.Inv.&Fn,1551.4,0.51,26.85,11.7
