Name,CMP  Rs.,3mth return  %,6mth return  %,1Yr return  %
Thangamayil Jew.,3222.1,54.37,69.65,65.99
Shriram Finance,996.2,54.26,47.33,70.66
AU Small Finance,994.5,34.05,21.35,74.92
Pearl Global Ind,1610.9,29.06,1.63,7.86
Ashapura Minech.,878.65,27.2,96.52,117.51
Pricol Ltd,661.1,25.14,44.11,22.06
Lumax Auto Tech.,1544.5,18.57,34.07,138.07
Krishana Phosch.,532.2,14.75,19.09,170.33
Ethos,2976.9,13.99,10.24,5.81
V2 Retail,2447.8,10.12,27.23,45.33
Bank of Maha,62.05,9.84,7.93,17.99
TD Power Systems,702.05,9.21,41.96,57.23
Cholaman.Inv.&Fn,1702.2,8.36,11.5,43.72
TVS Motor Co.,3719.8,7.63,29.16,54.57
M & M,3709.2,7.14,17.29,20.35
Eicher Motors,7312.5,5.35,29.91,49.68
Adani Ports,1469.8,3.57,3.19,20.6
Polycab India,7619.0,3.06,13.42,3.78
