Added Stocks,CMP Rs. (Added),Removed Stocks,CMP Rs. (Removed)
Aditya Vision,559.9,360 ONE,1077.9
Ashapura Minech.,690.75,AU Small Finance,733.4
Bharat Seats,195.6,Anant Raj,573.45
Cholaman.Inv.&Fn,1570.9,Apar Inds.,8981.5
Global Health,1328.8,BSE,2454.0
Kaynes Tech,7273.0,Chola Financial,1994.9
M & M,3462.0,D.P. Abhushan,1678.3
Pricol Ltd,528.3,Federal Bank,208.14
T R I L,497.05,Garware Hi Tech,3675.9
,,Home First Finan,1479.0
,,ITD Cem,770.95
,,Kalyan Jewellers,594.0
,,Kingfa Science,3612.4
,,Lloyds Enterpris,79.39
,,Marksans Pharma,227.75
,,Multi Comm. Exc.,8040.0
,,Nippon Life Ind.,809.7
,,Pearl Global Ind,1524.5
,,SBFC Finance,109.46
,,Suzlon Energy,63.62
,,Triveni Turbine,616.0
